상호명,지점명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,도로명주소,경도,위도,n_상호명,점포수
BKR버거킹포항공대점,포항공대점,패스트푸드,패스트푸드,경상북도,포항시 남구,효곡동,경상북도 포항시 남구 청암로 77,129.321313500131,36.0106103437304,버거킹,1
BKR버거킹,구미이마트점,패스트푸드,패스트푸드,경상북도,구미시,광평동,경상북도 구미시 구미대로 256,128.364905872656,36.1094826253698,버거킹,1
버거킹,안동중앙점,패스트푸드,패스트푸드,경상북도,안동시,중구동,경상북도 안동시 문화광장길 40-6,128.731287486582,36.5647286574871,버거킹,1
버거킹,인의점,패스트푸드,패스트푸드,경상북도,구미시,인동동,경상북도 구미시 인동중앙로 16,128.421161439074,36.1068916412193,버거킹,1
버거킹,포항버스터미널점,패스트푸드,패스트푸드,경상북도,포항시 남구,상대동,경상북도 포항시 남구 중흥로 96,129.351035705811,36.0135236622951,버거킹,1
버거킹경북상주점,경북상주점,패스트푸드,패스트푸드,경상북도,상주시,남원동,경상북도 상주시 중앙로 186-1,128.158705579647,36.4154569984263,버거킹,1
버거킹,대구대점,패스트푸드,패스트푸드,경상북도,경산시,진량읍,경상북도 경산시 진량읍 대구대로 201,128.84282791143602,35.904527867719494,버거킹,1
버거킹,경산하양오일뱅크점,패스트푸드,패스트푸드,경상북도,경산시,하양읍,경상북도 경산시 하양읍 대경로 559,128.805823431642,35.9020419120369,버거킹,1
버거킹,한동대점,패스트푸드,패스트푸드,경상북도,포항시 북구,흥해읍,경상북도 포항시 북구 흥해읍 한동로 558,129.38926879212798,36.1023173223365,버거킹,1
버거킹,안동옥동점,패스트푸드,패스트푸드,경상북도,안동시,옥동,경상북도 안동시 경북대로 381,128.70192931365,36.5636704504689,버거킹,1
버거킹,구미신평점,패스트푸드,패스트푸드,경상북도,구미시,신평1동,경상북도 구미시 칠성로6길 56,128.362392040471,36.1232079573554,버거킹,1
버거킹,구미도량G7지점,패스트푸드,패스트푸드,경상북도,구미시,도량동,경상북도 구미시 야은로 320,128.317793333108,36.13817886974221,버거킹,1
